Location,Latitude,Longitude,Temperature,Weather,Description,Humidity,Pressure,Wind Speed,Timestamp
Abdullapurmet,17.32,78.66,302.42,Clouds,overcast clouds,68,1005,6.01,2024-08-22T09:29:16.758261+00:00
Achampet,16.45,78.81,301.03,Rain,moderate rain,68,1005,4.92,2024-08-22T09:29:17.128608+00:00
Adavidevulapally,16.67,79.49,305.66,Rain,heavy intensity rain,58,1004,3.77,2024-08-22T09:29:17.272930+00:00
Addagudur,17.4,79.37,302.43,Clouds,overcast clouds,73,1004,3.17,2024-08-22T09:29:17.422925+00:00
Addakal,16.52,77.93,301.42,Clouds,overcast clouds,74,1006,4.69,2024-08-22T09:29:17.503538+00:00
Adilabad Rural,19.62,78.61,304.28,Rain,heavy intensity rain,68,1004,2.43,2024-08-22T09:29:17.584311+00:00
Adilabad Urban,19.67,78.54,304.61,Rain,heavy intensity rain,67,1004,2.19,2024-08-22T09:29:17.677722+00:00
Aiza,15.98,77.64,303.69,Clouds,overcast clouds,59,1005,6.77,2024-08-22T09:29:17.789483+00:00
Akkannapet,18.05,79.19,302.36,Rain,light rain,72,1004,4.14,2024-08-22T09:29:17.870487+00:00
Alair,17.65,79.08,302.49,Clouds,overcast clouds,71,1005,3.82,2024-08-22T09:29:17.956152+00:00
Alampur,15.92,78.13,304.08,Clouds,overcast clouds,58,1005,6.85,2024-08-22T09:29:18.123068+00:00
Alladurg,17.95,77.95,302.6,Clouds,overcast clouds,67,1004,4.75,2024-08-22T09:29:18.206434+00:00
Allapalli,17.91,80.52,301.61,Clouds,overcast clouds,85,1005,2.43,2024-08-22T09:29:18.290509+00:00
Alwal,17.52,78.52,301.77,Haze,haze,70,1005,5.14,2024-08-22T09:29:18.357962+00:00
Amangal,16.86,78.56,301.81,Rain,light rain,71,1006,5.99,2024-08-22T09:29:18.767054+00:00
Amarchintha,16.38,77.73,302.21,Clouds,overcast clouds,70,1005,5.73,2024-08-22T09:29:18.862245+00:00
Amberpet,17.39,78.51,302.45,Haze,haze,70,1005,5.66,2024-08-22T09:29:18.948265+00:00
Ammerpet,17.44,78.45,302.13,Haze,haze,70,1005,5.14,2024-08-22T09:29:19.044072+00:00
Amrabad,16.22,78.78,299.93,Clouds,overcast clouds,69,1006,4.42,2024-08-22T09:29:19.125912+00:00
Ananthagiri,17.06,79.98,301.88,Rain,light rain,79,1005,1.69,2024-08-22T09:29:19.214681+00:00
Andole,17.83,78.04,302.29,Clouds,overcast clouds,69,1005,5.14,2024-08-22T09:29:19.329064+00:00
Annapureddipalle,17.36,80.75,303.39,Rain,light rain,73,1004,4.12,2024-08-22T09:29:19.422939+00:00
Anumula_Haliya,16.82,79.29,305.04,Rain,moderate rain,60,1004,5.34,2024-08-22T09:29:19.495945+00:00
Armoor,18.83,78.26,304.11,Clouds,broken clouds,67,1004,3.08,2024-08-22T09:29:19.654641+00:00
Asifabad,19.35,79.25,304.64,Clouds,overcast clouds,67,1004,1.9,2024-08-22T09:29:19.727011+00:00
Asifnagar,17.39,78.45,302.25,Haze,haze,70,1005,5.66,2024-08-22T09:29:19.831938+00:00
Aswapuram,17.82,80.79,303.02,Rain,light rain,81,1004,2.89,2024-08-22T09:29:19.896449+00:00
Aswaraopeta,17.36,81.13,302.2,Rain,moderate rain,80,1005,4.87,2024-08-22T09:29:20.049203+00:00
Athmakur (M),17.47,79.17,302.84,Clouds,overcast clouds,69,1004,4.01,2024-08-22T09:29:20.150692+00:00
Atmakur,16.3,77.83,302.53,Clouds,overcast clouds,68,1005,5.93,2024-08-22T09:29:20.299401+00:00
Atmakur,18.06,79.74,301.34,Rain,heavy intensity rain,81,1005,3.67,2024-08-22T09:29:20.368147+00:00
Atmakur_S,17.26,79.7,301.55,Rain,moderate rain,81,1004,1.4,2024-08-22T09:29:20.459496+00:00
B.Pochampally,17.35,78.81,303.07,Clouds,overcast clouds,67,1005,5.52,2024-08-22T09:29:20.810358+00:00
Bachannapet,17.81,79.01,302,Clouds,overcast clouds,71,1005,3.93,2024-08-22T09:29:20.882142+00:00
Bachupally,17.53,78.37,301.78,Haze,haze,70,1005,5.14,2024-08-22T09:29:20.961725+00:00
Bahadurpura,17.35,78.46,302.32,Haze,haze,70,1005,5.66,2024-08-22T09:29:21.319177+00:00
Balanagar,16.94,78.2,301.44,Clouds,overcast clouds,76,1006,5.24,2024-08-22T09:29:21.386336+00:00
Balanagar,17.47,78.46,302.12,Haze,haze,70,1005,5.14,2024-08-22T09:29:21.448639+00:00
Balapur,17.28,78.5,301.44,Mist,mist,78,1005,5.66,2024-08-22T09:29:21.552210+00:00
Balkonda,18.89,78.33,304.04,Clouds,broken clouds,68,1004,3.2,2024-08-22T09:29:21.691295+00:00
Balmoor,16.34,78.58,301.59,Clouds,overcast clouds,71,1006,4.61,2024-08-22T09:29:21.783718+00:00
Bandlaguda,17.33,78.48,301.73,Mist,mist,78,1005,5.66,2024-08-22T09:29:21.885912+00:00
Banswada,18.39,77.92,303.93,Clouds,broken clouds,68,1004,3.5,2024-08-22T09:29:22.019615+00:00
Bantwaram,17.44,77.69,300.91,Clouds,overcast clouds,72,1005,5.65,2024-08-22T09:29:22.083863+00:00
Basar,18.9,77.95,305.03,Clouds,broken clouds,62,1003,3.39,2024-08-22T09:29:22.441741+00:00
Basheerabad,17.19,77.45,301.91,Rain,moderate rain,70,1005,4.95,2024-08-22T09:29:22.507994+00:00
Bayyaram,17.65,80.15,300.06,Rain,light rain,88,1005,2.54,2024-08-22T09:29:22.571945+00:00
Bazarhathnoor,19.49,78.37,303.09,Rain,moderate rain,70,1004,2.88,2024-08-22T09:29:22.644195+00:00
Beerpur,19.03,78.97,304.92,Clouds,broken clouds,67,1004,2.84,2024-08-22T09:29:22.714926+00:00
Bejjanki,18.26,79.03,303.92,Clouds,overcast clouds,67,1004,4.75,2024-08-22T09:29:22.849202+00:00
Bejjur,19.36,79.85,304.14,Clouds,overcast clouds,75,1004,1.71,2024-08-22T09:29:22.916296+00:00
Bela,19.69,78.77,304.73,Rain,very heavy rain,67,1004,2.47,2024-08-22T09:29:23.011980+00:00
Bellampalle,19.07,79.51,304.5,Clouds,overcast clouds,67,1004,2.49,2024-08-22T09:29:23.376942+00:00
Bhadrachalam,17.66,80.89,303.38,Rain,light rain,79,1004,3.41,2024-08-22T09:29:23.447284+00:00
Bhainsa,19.11,77.98,304.19,Rain,heavy intensity rain,65,1004,3.45,2024-08-22T09:29:23.626380+00:00
Bheemadevarapalli,18.08,79.33,302.39,Rain,heavy intensity rain,74,1004,4,2024-08-22T09:29:23.759897+00:00
Bheemaram,18.86,79.66,304.3,Clouds,overcast clouds,70,1004,3.03,2024-08-22T09:29:23.834509+00:00
Bheemgal,18.68,78.48,303.53,Clouds,overcast clouds,71,1004,3.04,2024-08-22T09:29:23.918508+00:00
Bheemini,19.22,79.59,304.48,Clouds,overcast clouds,69,1004,1.99,2024-08-22T09:29:23.990295+00:00
Bheempoor,19.81,78.39,304.83,Rain,heavy intensity rain,66,1003,1.75,2024-08-22T09:29:24.061295+00:00
Bhiknoor,18.19,78.41,302.41,Clouds,overcast clouds,69,1004,4.71,2024-08-22T09:29:24.170396+00:00
Bhongiri,17.5,78.92,302.96,Clouds,overcast clouds,67,1005,4.56,2024-08-22T09:29:24.351583+00:00
Bhoothpur,16.67,78.07,300.63,Clouds,overcast clouds,75,1006,4.48,2024-08-22T09:29:24.413978+00:00
Bhupalpally,18.43,79.94,302.8,Rain,moderate rain,78,1004,3.47,2024-08-22T09:29:24.503137+00:00
Bibinagar,17.46,78.8,302.84,Clouds,overcast clouds,67,1005,5.08,2024-08-22T09:29:24.665973+00:00
Bibipet,18.22,78.52,303.13,Clouds,overcast clouds,67,1004,5.1,2024-08-22T09:29:24.775145+00:00
Bijinapalle,16.53,78.19,300.83,Clouds,overcast clouds,72,1006,4.68,2024-08-22T09:29:24.864892+00:00
Boath,19.36,78.28,303.01,Rain,light rain,70,1004,3.5,2024-08-22T09:29:24.937796+00:00
Bodhan,18.69,77.86,305.01,Clouds,broken clouds,63,1003,3.51,2024-08-22T09:29:25.015073+00:00
Boinpalli,18.48,78.94,304.04,Clouds,overcast clouds,67,1004,3.98,2024-08-22T09:29:25.087425+00:00
Bommalaramaram,17.58,78.75,302.42,Clouds,overcast clouds,67,1005,4.8,2024-08-22T09:29:25.293462+00:00
Bommaraspeta,17.13,77.71,300.94,Rain,light rain,73,1006,5.18,2024-08-22T09:29:25.415538+00:00
Bonakal,17.04,80.29,302.42,Rain,light rain,77,1005,3.24,2024-08-22T09:29:25.512510+00:00
Buggaram,18.87,79.07,304.66,Clouds,broken clouds,68,1004,3.2,2024-08-22T09:29:25.895982+00:00
Burgampadu,17.68,80.82,303.39,Rain,light rain,79,1004,3.18,2024-08-22T09:29:25.981380+00:00
Chandampet,16.5,79.03,302.49,Rain,moderate rain,65,1005,5.29,2024-08-22T09:29:26.079545+00:00
Chandrugonda,17.39,80.62,303.45,Rain,light rain,74,1004,3.74,2024-08-22T09:29:26.249873+00:00
Chandur,17.0,79.01,304.06,Clouds,overcast clouds,61,1005,5.92,2024-08-22T09:29:26.340111+00:00
Charakonda,16.7,78.68,302.28,Rain,moderate rain,68,1005,5.77,2024-08-22T09:29:26.404722+00:00
Charminar,17.36,78.49,302.36,Haze,haze,70,1005,5.66,2024-08-22T09:29:26.468195+00:00
Chendurthi,18.57,78.75,303.47,Clouds,overcast clouds,69,1004,3.51,2024-08-22T09:29:26.641953+00:00
Chennaraopet,17.85,79.86,300.23,Rain,light rain,86,1005,3.36,2024-08-22T09:29:26.720819+00:00
Chennur,18.82,79.76,304.38,Clouds,overcast clouds,71,1004,3.15,2024-08-22T09:29:26.901047+00:00
Cherial,17.93,78.97,302.2,Clouds,overcast clouds,71,1005,4.37,2024-08-22T09:29:26.975115+00:00
Cherla,18.08,80.87,302.72,Clouds,overcast clouds,82,1005,2.73,2024-08-22T09:29:27.139092+00:00
Chevella,17.32,78.12,300.85,Clouds,overcast clouds,75,1006,5.69,2024-08-22T09:29:27.201732+00:00
Chigurumamidi,18.22,79.19,303.56,Rain,light rain,68,1004,4.63,2024-08-22T09:29:27.302613+00:00
Chilkur,16.97,79.87,302.25,Rain,moderate rain,78,1004,1.26,2024-08-22T09:29:27.422233+00:00
Chilpur,17.92,79.31,301.61,Rain,light rain,76,1005,3.51,2024-08-22T09:29:27.486779+00:00
Chinna Chinta Kunta,16.49,77.8,301.62,Clouds,overcast clouds,73,1005,5.03,2024-08-22T09:29:27.552018+00:00
Chinnagudur,17.5,79.89,300.11,Rain,light rain,87,1005,2.07,2024-08-22T09:29:27.623491+00:00
Chinnakodur,18.18,78.92,302.99,Clouds,overcast clouds,67,1004,4.88,2024-08-22T09:29:27.764026+00:00
Chinnambavi,16.02,78.16,303.78,Clouds,overcast clouds,60,1005,6.82,2024-08-22T09:29:27.841647+00:00
Chintakani,17.13,80.21,302.69,Rain,light rain,76,1005,3.22,2024-08-22T09:29:27.956061+00:00
Chintalamanepally,19.45,79.84,304.31,Rain,light rain,73,1004,1.79,2024-08-22T09:29:28.098334+00:00
Chinthala palem,16.73,79.98,303.01,Rain,heavy intensity rain,74,1004,2.14,2024-08-22T09:29:28.156419+00:00
Chinthapally,16.85,78.81,302.63,Clouds,overcast clouds,66,1005,6.25,2024-08-22T09:29:28.327644+00:00
Chityal,18.39,79.71,303.62,Rain,light rain,71,1004,4.13,2024-08-22T09:29:28.450425+00:00
Chityal,17.21,79.07,303.55,Clouds,overcast clouds,64,1005,5.14,2024-08-22T09:29:28.545247+00:00
Chivvemla,17.14,79.69,302.14,Rain,moderate rain,78,1004,1.45,2024-08-22T09:29:28.718386+00:00
Choppadandi,18.58,79.16,303.95,Clouds,overcast clouds,67,1004,4.08,2024-08-22T09:29:28.805215+00:00
Choutuppal,17.27,78.89,302.6,Clouds,overcast clouds,66,1005,5.6,2024-08-22T09:29:28.876735+00:00
Chowdergudem,17.06,77.99,299.9,Clouds,overcast clouds,76,1006,5.43,2024-08-22T09:29:29.273105+00:00
Chunchupally,17.48,80.68,303.42,Rain,light rain,74,1004,3.6,2024-08-22T09:29:29.336351+00:00
Dahegaon,19.23,79.75,304.08,Clouds,overcast clouds,74,1004,1.99,2024-08-22T09:29:29.459554+00:00
Damaracherla,16.73,79.61,305.27,Rain,heavy intensity rain,60,1004,3.5,2024-08-22T09:29:29.531054+00:00
Damargidda,16.86,77.52,300.29,Rain,light rain,74,1006,5.18,2024-08-22T09:29:29.682160+00:00
Damera,18.08,79.65,301.66,Rain,heavy intensity rain,79,1004,3.76,2024-08-22T09:29:29.751847+00:00
Dammapeta,17.33,80.97,301.88,Rain,moderate rain,78,1005,4.73,2024-08-22T09:29:29.839931+00:00
Dandepalle,19.0,79.16,304.92,Clouds,overcast clouds,66,1004,2.97,2024-08-22T09:29:29.900872+00:00
Danthalapalle,17.48,79.73,300.35,Rain,light rain,86,1005,1.12,2024-08-22T09:29:29.970241+00:00
Dasturabad,19.08,78.89,304.74,Clouds,overcast clouds,68,1004,2.83,2024-08-22T09:29:30.095653+00:00
Devarakonda,16.69,78.86,303.12,Rain,moderate rain,65,1005,5.99,2024-08-22T09:29:30.164492+00:00
Devarkadra,16.61,77.84,301.19,Clouds,overcast clouds,75,1006,4.67,2024-08-22T09:29:30.538300+00:00
Devaruppula,17.59,79.32,302.07,Rain,light rain,75,1005,3.2,2024-08-22T09:29:30.603544+00:00
Dhanwada,16.67,77.69,300.49,Rain,light rain,74,1006,4.9,2024-08-22T09:29:30.671136+00:00
Dharmapuri,18.96,79.06,304.89,Clouds,broken clouds,67,1004,2.98,2024-08-22T09:29:30.734195+00:00
Dharmaram,18.7,79.22,304.34,Clouds,overcast clouds,67,1004,3.88,2024-08-22T09:29:30.803262+00:00
Dharmasagar,17.97,79.42,301.29,Rain,moderate rain,79,1005,3.45,2024-08-22T09:29:30.917201+00:00
Dharoor,16.28,77.67,302.52,Clouds,overcast clouds,66,1005,6.35,2024-08-22T09:29:31.015008+00:00
Dharoor,17.3,77.78,301.16,Clouds,overcast clouds,73,1005,5.41,2024-08-22T09:29:31.074553+00:00
Dharpally,18.58,78.36,303.59,Clouds,overcast clouds,69,1004,3.67,2024-08-22T09:29:31.198664+00:00
Dichpally,18.62,78.23,303.78,Clouds,broken clouds,68,1004,3.75,2024-08-22T09:29:31.264694+00:00
Dilawarpur,19.06,78.25,304.17,Clouds,broken clouds,68,1004,3.61,2024-08-22T09:29:31.409639+00:00
Doma,17.08,77.83,300.55,Clouds,overcast clouds,74,1006,5.26,2024-08-22T09:29:31.469661+00:00
Dornakal,17.41,80.09,301.46,Rain,moderate rain,81,1005,3.05,2024-08-22T09:29:31.531802+00:00
Doulthabad,16.99,77.56,300.34,Rain,moderate rain,74,1006,4.98,2024-08-22T09:29:31.739851+00:00
Dubbak,18.18,78.65,303.01,Clouds,overcast clouds,66,1004,5.2,2024-08-22T09:29:31.800864+00:00
Duggondi,18.0,79.81,300.76,Rain,heavy intensity rain,84,1005,3.55,2024-08-22T09:29:31.850809+00:00
Dummugudem,17.83,80.96,302.85,Rain,light rain,82,1004,3.08,2024-08-22T09:29:32.004561+00:00
Dundigal Gandimaisamma,17.58,78.42,301.61,Haze,haze,70,1005,5.14,2024-08-22T09:29:32.067714+00:00
Eligaid,18.56,79.27,304.05,Clouds,overcast clouds,67,1004,4.3,2024-08-22T09:29:32.144554+00:00
Elkathurthi,18.11,79.45,302.56,Rain,heavy intensity rain,75,1004,3.98,2024-08-22T09:29:32.233116+00:00
Ellandakunta,18.3,79.54,303.99,Rain,moderate rain,69,1004,4.43,2024-08-22T09:29:32.414877+00:00
Enkoor,17.35,80.41,303.23,Rain,light rain,75,1005,3.6,2024-08-22T09:29:32.481806+00:00
Eturnagaram,18.34,80.39,302.83,Clouds,overcast clouds,83,1004,3.09,2024-08-22T09:29:32.557247+00:00
Farooqnagar,17.04,78.19,300.95,Clouds,overcast clouds,76,1006,5.49,2024-08-22T09:29:32.643584+00:00
Gadiguda,19.61,78.87,302.64,Rain,light rain,68,1004,2.66,2024-08-22T09:29:33.000727+00:00
Gadwal,16.21,77.81,302.87,Clouds,overcast clouds,65,1005,6.3,2024-08-22T09:29:33.064280+00:00
Gajwel,17.87,78.69,302.32,Clouds,overcast clouds,67,1005,4.81,2024-08-22T09:29:33.147395+00:00
Gambhiraopet,18.32,78.58,303.51,Clouds,overcast clouds,67,1004,4.68,2024-08-22T09:29:33.252689+00:00
Gandeed,16.92,77.83,300.44,Clouds,overcast clouds,75,1006,4.96,2024-08-22T09:29:33.320139+00:00
Gandhari,18.4,78.07,302.57,Clouds,broken clouds,70,1004,3.74,2024-08-22T09:29:33.386797+00:00
Gandipet,17.38,78.34,302.25,Haze,haze,70,1005,5.66,2024-08-22T09:29:33.451881+00:00
Gangadhara,18.57,79.0,303.76,Clouds,overcast clouds,67,1004,3.8,2024-08-22T09:29:33.661846+00:00
Gangaram,17.86,80.21,299.85,Rain,light rain,88,1005,2.37,2024-08-22T09:29:34.168653+00:00
Ganneruvaram,18.36,79.08,304.02,Clouds,overcast clouds,67,1004,4.48,2024-08-22T09:29:34.232335+00:00
Garidepalli,16.91,79.76,303.48,Rain,moderate rain,72,1004,1.58,2024-08-22T09:29:34.383912+00:00
Garla,17.51,80.16,300.86,Rain,moderate rain,85,1005,2.83,2024-08-22T09:29:34.471340+00:00
Geesugonda,17.97,79.7,300.6,Rain,heavy intensity rain,84,1005,3.4,2024-08-22T09:29:34.537383+00:00
Ghanapur_Mulug,18.34,79.87,303.29,Rain,moderate rain,75,1004,3.93,2024-08-22T09:29:34.611412+00:00
Ghanpur,16.55,78.05,301.01,Clouds,overcast clouds,74,1006,4.56,2024-08-22T09:29:34.696753+00:00
Ghanpur (Stn),17.82,79.35,301.34,Clouds,overcast clouds,78,1005,3.13,2024-08-22T09:29:34.755795+00:00
Ghatkesar,17.43,78.69,302.65,Clouds,overcast clouds,67,1005,5.45,2024-08-22T09:29:34.812936+00:00
Ghattu,16.09,77.57,303.07,Clouds,overcast clouds,61,1005,6.74,2024-08-22T09:29:34.951072+00:00
Golkonda,17.38,78.41,302.27,Haze,haze,70,1005,5.66,2024-08-22T09:29:35.113153+00:00
Gollapalli,18.79,79.07,304.43,Clouds,overcast clouds,68,1004,3.4,2024-08-22T09:29:35.205179+00:00
Gopalpet,16.4,78.15,301.45,Clouds,overcast clouds,71,1006,4.97,2024-08-22T09:29:35.298567+00:00
Govindaraopet,18.21,80.14,302.76,Rain,light rain,81,1004,3.32,2024-08-22T09:29:35.442109+00:00
Gudihathnur,19.52,78.51,303.06,Rain,light rain,69,1004,2.58,2024-08-22T09:29:35.500999+00:00
Gudur,17.77,80.01,299.82,Clouds,overcast clouds,89,1005,3.03,2024-08-22T09:29:35.608164+00:00
Gummadidala,17.69,78.37,301.52,Clouds,overcast clouds,70,1005,5.13,2024-08-22T09:29:35.707819+00:00
Gundala,17.89,80.36,301.19,Rain,light rain,86,1005,2.28,2024-08-22T09:29:35.853659+00:00
Gundala,17.53,79.27,302.48,Clouds,overcast clouds,72,1004,3.58,2024-08-22T09:29:35.970123+00:00
Gundlapally,16.6,78.76,302.43,Rain,moderate rain,68,1005,5.41,2024-08-22T09:29:36.034370+00:00
Gurrampode,16.85,79.1,304.34,Rain,light rain,61,1005,5.96,2024-08-22T09:29:36.141149+00:00
Hajipur,18.91,79.34,304.53,Clouds,overcast clouds,67,1004,3.16,2024-08-22T09:29:36.249275+00:00
Hanamkonda,18.01,79.56,301.1,Rain,heavy intensity rain,81,1005,3.48,2024-08-22T09:29:36.313603+00:00
Hanwada,16.82,77.89,300.13,Clouds,overcast clouds,76,1006,4.62,2024-08-22T09:29:36.426345+00:00
Hasanparthy,18.07,79.54,301.87,Rain,heavy intensity rain,78,1004,3.75,2024-08-22T09:29:36.527446+00:00
Hathnoora,17.71,78.19,302.32,Clouds,overcast clouds,72,1005,5.15,2024-08-22T09:29:36.678936+00:00
Havelighanpur,18.12,78.24,302.21,Clouds,overcast clouds,73,1005,4.19,2024-08-22T09:29:36.755186+00:00
Hayathnagar,17.33,78.58,302.18,Haze,haze,70,1005,5.66,2024-08-22T09:29:36.842102+00:00
Himayatnagar,17.4,78.49,302.38,Haze,haze,70,1005,5.66,2024-08-22T09:29:36.943574+00:00
Husnabad,18.13,79.22,302.83,Rain,moderate rain,71,1004,4.33,2024-08-22T09:29:37.032642+00:00
Huzur nagar,16.88,79.85,303.08,Rain,moderate rain,74,1004,1.75,2024-08-22T09:29:37.097609+00:00
Huzurabad,18.22,79.42,303.64,Rain,heavy intensity rain,69,1004,4.47,2024-08-22T09:29:37.163385+00:00
Ibrahimpatnam,18.92,78.58,303.9,Clouds,broken clouds,70,1004,3.17,2024-08-22T09:29:37.226869+00:00
Ibrahimpatnam,17.2,78.65,301.64,Clouds,overcast clouds,70,1005,6.32,2024-08-22T09:29:37.332465+00:00
Ichoda,19.38,78.49,302.99,Clouds,broken clouds,70,1004,2.84,2024-08-22T09:29:37.450095+00:00
Illanthakunta,18.32,78.93,304.01,Clouds,overcast clouds,66,1004,4.63,2024-08-22T09:29:37.515696+00:00
Inavolu,17.86,79.55,300.61,Rain,light rain,83,1005,3.07,2024-08-22T09:29:37.592815+00:00
Indalwai,18.52,78.27,303.65,Clouds,broken clouds,68,1004,4.34,2024-08-22T09:29:37.677816+00:00
Inderavelly,19.49,78.65,303,Clouds,overcast clouds,70,1004,2.83,2024-08-22T09:29:38.175146+00:00
Itikyal,16.08,77.87,303.42,Clouds,overcast clouds,62,1005,6.57,2024-08-22T09:29:38.399553+00:00
Jadcherla,16.79,78.17,300.1,Clouds,overcast clouds,75,1006,4.79,2024-08-22T09:29:38.470266+00:00
Jagdevpur,17.8,78.81,301.99,Clouds,overcast clouds,68,1005,4.31,2024-08-22T09:29:38.582510+00:00
Jagityal_Rural,18.82,78.94,304.11,Clouds,overcast clouds,69,1004,3.18,2024-08-22T09:29:38.669868+00:00
Jagtial,18.79,78.91,303.86,Clouds,overcast clouds,70,1004,3.21,2024-08-22T09:29:38.737632+00:00
Jainad,19.74,78.62,304.89,Rain,heavy intensity rain,66,1003,2.13,2024-08-22T09:29:38.813531+00:00
Jainoor,19.42,78.92,302.81,Clouds,overcast clouds,70,1004,2.81,2024-08-22T09:29:38.892364+00:00
Jaipur,18.8,79.61,304.53,Clouds,overcast clouds,69,1004,3.24,2024-08-22T09:29:38.960764+00:00
Jajireddigudem,17.32,79.55,301.74,Clouds,overcast clouds,78,1004,2.26,2024-08-22T09:29:39.028885+00:00
Jakranpally,18.71,78.28,303.92,Clouds,broken clouds,68,1004,3.16,2024-08-22T09:29:39.096341+00:00
Jammikunta,18.33,79.49,304.11,Rain,light rain,68,1004,4.4,2024-08-22T09:29:39.157959+00:00
Jangoan,17.76,79.13,301.94,Clouds,overcast clouds,73,1005,3.55,2024-08-22T09:29:39.286871+00:00
